"Q1. What is your age?
",Q2. Which age group do you think benefits most from health supplements?,"Q3. How many times do food supplements intake on a daily basis ?
",Q 4. Price range of food supplements has been preferred?,"Q 5. How many containers of food supplements are required on a monthly basis ?
","Q6.According to you, what should be an affordable price brand of food supplement?
","Q7. What is your experience about the availability of your food supplements in a pandemic situation? (rating between 1 to 10)
","Q8. What were the monthly expenses on food supplement in a pandemic situation ?
","Q9. What is the quantity of consumption of a food supplement at one time (In gm.)?
","Q10.what is the preferable container size of food supplement for purchase  (In gms)?  
","Q11.What is the frequency of purchasing food supplements in a month?
","Q12. What factors have been noticed in time of purchase of food supplements?
Ingredients= 1, Bioavailability = 2,  Brand name = 3, Price = 4
","Q13. What is the efficiency rate of your current food supplement between ( 1 to 5)?
",Q14. What will be the monthly expenses willing to pay for food supplement?
20,30,2,1800,6,1200,3,2000,150,2000,4,2,2,2000
30,40,2,1800,6,1400,3,1500,100,1000,6,3,3,2000
40,60,2,1200,6,1400,1,1500,50,500,4,1,3,2000
40,30,2,1800,6,1200,2,4000,100,2500,6,4,2,2000
25,30,2,1200,6,1400,3,2000,150,2500,4,2,2,2000
40,40,3,1200,6,1200,2,2500,150,500,4,3,3,1500
35,40,1,1500,7,1400,7,2000,200,500,6,3,2,2000
30,30,4,1500,4,1200,2,2000,150,1000,6,3,3,1500
20,30,2,800,6,1400,8,4000,100,2000,8,2,4,2000
50,50,3,1500,7,1400,2,2500,150,2500,8,3,3,2000
20,20,1,1500,4,1400,1,1500,100,500,6,1,2,1000
20,70,2,800,4,1200,1,2500,100,500,2,1,1,1000
35,40,3,1500,6,1600,9,4000,150,2000,4,2,1,2500
30,40,2,1500,6,1400,10,2500,150,1000,6,4,4,2000
30,30,3,1200,8,1400,10,2000,50,1000,2,2,2,2000
40,40,3,1200,7,1400,1,1500,200,2000,8,1,2,1000
35,30,3,1500,7,1600,9,2500,150,2000,6,2,5,1500
20,50,2,1500,7,1200,10,2000,50,2500,8,3,5,2500
30,40,2,1800,7,1400,9,2500,100,2000,6,3,4,2000
25,40,3,1500,6,1400,2,4000,150,2000,8,3,2,2500
20,30,3,1200,7,1400,3,2500,200,2000,4,4,5,1500
20,30,2,1200,4,800,1,4000,50,500,2,2,2,2000
30,40,2,1200,7,1400,9,4000,100,2000,6,3,5,1500
35,40,3,1200,8,1400,8,4000,100,2000,6,2,4,2500
25,40,2,1500,8,1400,9,2500,100,2000,6,3,3,2000
30,70,3,1800,6,1400,9,2500,100,2000,2,3,3,2000
25,40,3,1800,6,1400,3,2500,150,1000,6,2,3,1500
40,40,3,1500,7,1400,4,2000,150,2000,6,3,3,2000
35,40,3,1500,7,1600,3,2000,200,1000,4,3,3,2000
35,40,3,1500,7,1400,8,2000,150,1000,8,3,4,2000
30,40,4,1500,8,1400,9,2500,150,2000,6,3,3,1500
20,40,3,1800,7,1200,2,2500,150,2500,4,3,3,1500
35,30,2,1200,8,1400,2,2500,150,1000,4,4,3,2000
35,30,3,1200,8,1400,2,2000,100,1000,6,3,2,1500
30,30,3,1200,7,1400,3,4000,150,1000,6,3,4,2000
25,30,3,1500,8,1600,9,4000,200,1000,8,4,4,1000
20,30,2,1500,6,1200,2,2500,100,1000,4,2,2,1500
40,30,2,1500,6,1200,3,2000,100,1000,8,2,2,2500
40,30,2,1500,4,1200,3,2000,50,1000,6,2,4,1500
50,30,2,1500,6,1400,9,2500,200,2500,8,1,5,2000
25,40,3,1200,6,1600,2,2500,100,2000,6,2,5,2500
40,30,3,1800,7,1200,8,4000,200,2500,2,4,3,2000
20,50,3,1500,7,1400,3,2500,200,2000,4,1,4,2000
25,70,2,800,6,1400,10,2500,150,2000,6,3,4,2000
20,50,2,1500,7,1600,9,4000,150,2500,6,2,5,2000
25,30,2,1500,7,1600,3,2000,200,2000,6,4,5,2000
40,30,3,1500,7,1400,8,2500,150,1000,6,4,3,2000
40,40,2,1800,7,1200,4,4000,150,2500,4,2,3,2000
20,40,3,1200,7,1400,8,2500,200,2000,4,1,5,2000
25,40,3,1200,8,1600,7,4000,200,2500,8,4,5,2500
35,80,3,1500,4,1400,9,4000,200,2000,6,3,5,2500
35,30,3,800,8,1200,7,1500,200,500,8,3,2,2500
30,40,3,1800,7,800,10,2500,200,2500,4,4,4,2000
30,40,4,1500,7,1400,6,2000,50,1000,2,3,3,2500
25,40,3,1500,8,1400,9,4000,150,2500,2,1,4,2500
25,40,1,1800,4,1200,4,4000,200,2000,6,2,4,1500
50,40,3,1500,7,1400,5,1500,150,1000,6,2,4,2500
40,40,4,1200,4,1600,3,2500,100,2000,8,3,3,1500
30,40,3,1500,7,1400,2,2000,150,2000,6,3,3,2500
35,40,2,1200,6,1400,9,2500,50,2500,6,3,5,2000
40,80,4,1200,4,1400,9,1500,200,2000,4,3,4,2000
35,80,1,1500,4,800,3,2500,100,2000,4,3,3,2500
50,70,2,1500,7,1600,9,1500,200,1000,8,2,4,2500
30,50,2,1500,7,1400,5,2000,100,2500,8,4,1,1500
35,40,3,1200,8,1600,4,4000,50,2500,8,1,4,2000
25,40,4,1200,8,1400,3,4000,50,2000,4,2,2,1500
40,30,3,1500,7,1400,9,2500,50,2500,6,3,5,1500
30,80,2,1800,7,1400,9,1500,100,2000,6,3,4,2000
40,30,3,800,8,800,3,4000,150,1000,6,3,2,2000
35,40,3,1800,8,1200,4,2500,150,2500,4,4,3,2500
35,40,4,1200,7,1200,3,1500,100,2000,4,3,3,2000
40,50,2,1800,6,1400,3,4000,200,2000,6,3,3,2000
20,80,4,1500,6,1200,8,2500,100,2000,6,2,3,1000
25,40,3,1800,7,1400,3,2500,150,2000,6,3,4,2000
30,50,2,1500,7,1400,3,2500,150,2000,6,3,3,1500
25,40,3,1200,8,1400,3,2000,150,2000,6,3,2,2000
25,50,3,1500,7,1600,3,2000,100,1000,4,2,1,1500
20,30,3,1500,7,1600,2,2000,100,2500,6,4,4,2000
25,40,4,1500,7,1200,3,2000,150,2000,4,3,3,1500
35,30,3,1800,6,1600,2,1500,150,2500,6,3,4,1500
30,30,4,1800,7,1600,2,4000,200,2000,8,3,2,1000
35,30,3,1800,6,1400,3,4000,200,2000,6,2,2,2000
35,30,3,1800,8,1600,9,4000,200,2500,2,2,3,2000
40,40,3,1500,7,1200,3,2000,200,2000,4,2,2,2000
25,40,3,1500,7,1200,4,2500,150,500,6,2,2,1000
30,40,3,1500,7,1400,3,4000,100,2000,6,2,3,2500
25,30,3,1500,7,1200,3,2500,150,1000,6,2,3,1500
50,30,3,1800,7,1400,4,2000,200,2000,6,2,4,2500
50,40,1,1200,7,1600,3,2500,150,1000,8,4,3,1500
20,30,1,1500,8,1600,4,2500,200,1000,8,2,4,1000
25,20,2,1500,7,1400,10,4000,150,2000,6,3,3,2500
30,70,3,1500,7,1400,8,2500,100,1000,8,2,5,1000
50,30,3,1500,6,1400,4,2500,200,1000,6,3,3,2000
40,30,2,1500,6,1400,3,2500,100,2000,4,3,4,1500
35,50,3,1500,7,1400,3,2000,100,2000,6,2,3,1500
35,40,3,1200,7,1200,2,2500,150,2000,8,2,3,2000
25,40,2,1200,6,1200,3,2000,100,1000,4,2,3,1500
50,30,2,1500,6,1400,4,1500,200,2000,4,4,4,1500
35,30,3,1200,7,1400,3,2500,100,2000,4,2,2,1500
35,60,3,1500,6,1600,10,2500,50,2500,6,3,5,2000
